iter	Passed	Remaining
399	50869	12717
400	50941	12576
401	51015	12436
402	51087	12296
403	51146	12153
404	51205	12011
405	51274	11871
406	51339	11731
407	51407	11591
408	51471	11452
409	51535	11312
410	51602	11174
411	51666	11035
412	51743	10899
413	51799	10760
414	51851	10620
415	51901	10480
416	51954	10341
417	52003	10201
418	52092	10070
419	52143	9932
420	52210	9797
421	52264	9660
422	52318	9523
423	52367	9386
424	52418	9250
425	52468	9114
426	52513	8977
427	52563	8842
428	52612	8707
429	52661	8572
430	52703	8437
431	52742	8302
432	52795	8169
433	52836	8035
434	52896	7904
435	52937	7770
436	52976	7637
437	53015	7504
438	53051	7371
439	53091	7239
440	53126	7107
441	53163	6976
442	53200	6845
443	53240	6715
444	53280	6585
445	53317	6455
446	53355	6326
447	53391	6197
448	53429	6068
449	53469	5941
450	53506	5813
451	53543	5686
452	53580	5559
453	53616	5432
454	53652	5306
455	53690	5180
456	53729	5055
457	53766	4930
458	53802	4805
459	53835	4681
460	53872	4557
461	53908	4434
462	53948	4311
463	53985	4188
464	54020	4066
465	54062	3944
466	54120	3824
467	54179	3704
468	54219	3583
469	54260	3463
470	54299	3343
471	54334	3223
472	54369	3103
473	54411	2984
474	54449	2865
475	54484	2747
476	54522	2628
477	54556	2510
478	54593	2393
479	54629	2276
480	54666	2159
481	54701	2042
482	54739	1926
483	54775	1810
484	54814	1695
485	54853	1580
486	54888	1465
487	54923	1350
488	54961	1236
489	54997	1122
490	55032	1008
491	55067	895
492	55102	782
493	55139	669
494	55176	557
495	55211	445
496	55247	333
497	55283	222
498	55321	110
499	55360	0
062	130
499	65111	0
930
496	115522	697
497	115738	464
498	115931	232
499	116077	0
