iter	Logloss
0	0.6642912456
1	0.6387031125
2	0.6163170677
3	0.5949103195
4	0.5797986039
5	0.5629277689
6	0.5477012028
7	0.5342477394
8	0.5220539806
9	0.51151206
10	0.5016864813
11	0.4935215323
12	0.4861770841
13	0.4789885066
14	0.4730773796
15	0.4673202465
16	0.4618324971
17	0.4570832061
18	0.4530388168
19	0.4492818703
20	0.4451469363
21	0.4425887894
22	0.4397594782
23	0.4370098274
24	0.4340697176
25	0.4316554482
26	0.4291873378
27	0.4271303255
28	0.425364838
29	0.4245605108
30	0.4233956996
31	0.4217557841
32	0.4199592604
33	0.4184484634
34	0.4169278844
35	0.4157764951
36	0.4148115054
37	0.4135650641
38	0.4126194222
39	0.4113503261
40	0.4102467307
41	0.409083734
42	0.4081468261
43	0.4065720595
44	0.4055270703
45	0.4047500384
46	0.4041684677
47	0.4031438009
48	0.4025173794
49	0.4018359283
50	0.4007976581
51	0.4000843049
52	0.399429749
53	0.3989585011
54	0.3983656299
55	0.3976906768
56	0.3967661231
57	0.3963253659
58	0.3957912874
59	0.3952187316
60	0.39462385
61	0.3936715439
62	0.3933229162
63	0.3928058809
64	0.3924226674
65	0.3921942963
66	0.3917421508
67	0.3912090427
68	0.390513467
69	0.3900947472
70	0.3897394524
71	0.3895464158
72	0.3893453296
73	0.3890896709
74	0.3888201355
75	0.3884143919
76	0.3881272433
77	0.387699449
78	0.3873477027
79	0.3872166769
80	0.3866712243
81	0.3861100082
82	0.3856557103
83	0.3852935748
84	0.3847949161
85	0.3845501071
86	0.3840963575
87	0.3836863776
88	0.3833952546
89	0.3826724319
90	0.3824026087
91	0.3822626679
92	0.3820600458
93	0.3817891984
94	0.381634726
95	0.3815283303
96	0.3812617163
97	0.3809798905
98	0.3803202224
99	0.3801950248
100	0.3795820911
101	0.3795208518
102	0.3793303599
103	0.378849983
104	0.3787098045
105	0.378435892
106	0.3781804205
107	0.3779056034
108	0.377390645
109	0.3767734745
110	0.3766077721
111	0.3764507503
112	0.3761698222
113	0.3760843923
114	0.3758032081
115	0.3752308196
116	0.3744661016
117	0.3741038068
118	0.3738333608
119	0.3736750686
120	0.3733153659
121	0.373159601
122	0.3730626636
123	0.372997166
124	0.3728315634
125	0.3725274403
126	0.3722667801
127	0.3721578096
128	0.3720672289
129	0.3716520497
130	0.3713036031
131	0.3712480278
132	0.3708935986
133	0.3708367181
134	0.3707723354
135	0.3706249613
136	0.3698014849
137	0.3695137369
138	0.3694008025
139	0.3689885595
140	0.3688470921
141	0.3686451204
142	0.3682892002
143	0.3681060039
