iter	Logloss
144	0.3677648587
145	0.3675947074
146	0.3674688655
147	0.367176156
148	0.3671154476
149	0.3669852011
150	0.3667451764
151	0.3667281733
152	0.3666200974
153	0.3660881106
154	0.3660254772
155	0.3658994638
156	0.3658375739
157	0.3656090776
158	0.365419286
159	0.365381537
160	0.3652932008
161	0.3650223791
162	0.3648805307
163	0.3648092651
164	0.3644665302
165	0.3640840797
166	0.3639365112
167	0.3639033963
168	0.363744275
169	0.3635786066
170	0.3634294276
171	0.3632710076
172	0.3632678828
173	0.3632402954
174	0.3629328121
175	0.3626566717
176	0.3624044397
177	0.3623721737
178	0.362120819
179	0.361990057
180	0.3617558094
181	0.3615702666
182	0.3613139395
183	0.3610651099
184	0.360892767
185	0.360878867
186	0.3608391268
187	0.3606400022
188	0.3606005279
189	0.3600772602
190	0.3600038018
191	0.3599304698
192	0.3595460284
193	0.3595320217
194	0.3594737424
195	0.3594094851
196	0.3591375122
197	0.3588284998
198	0.3585216292
199	0.3584387347
200	0.3583513762
201	0.3583077693
202	0.3581038727
203	0.3580107477
204	0.3575892136
205	0.3575071315
206	0.3571139856
207	0.3570387035
208	0.3567249282
209	0.3564647853
210	0.3562808444
211	0.3559654693
212	0.3557215637
213	0.3555878335
214	0.3554286362
215	0.3547615786
216	0.3545711305
217	0.354314753
218	0.3541464392
219	0.3541108831
220	0.3538878819
221	0.3533584771
222	0.3530864098
223	0.3528439404
224	0.3525268781
225	0.3519675128
226	0.3517258378
227	0.351705793
228	0.3515203963
229	0.3512600602
230	0.3509589367
231	0.3506483573
232	0.3504684596
233	0.3498770751
234	0.3494602026
235	0.3492258108
236	0.3488974543
237	0.3487827633
238	0.3486338103
239	0.3483373549
240	0.3482305788
241	0.3479540104
242	0.3476204468
243	0.3473082092
244	0.3471135561
245	0.3467299027
246	0.3463006821
247	0.3460255265
248	0.3458266153
249	0.3455948096
250	0.345480524
251	0.3452527632
252	0.3450203822
253	0.3444830584
254	0.3440618917
255	0.3437507525
256	0.3433468229
257	0.3427388115
258	0.3420701389
259	0.3417439988
260	0.3416452834
261	0.3413870421
262	0.3412260997
263	0.3408469434
264	0.3403726759
265	0.3398600526
266	0.339591292
267	0.339371844
268	0.3391033192
269	0.3387617771
270	0.338324757
271	0.3381171326
272	0.3376813238
273	0.3373620213
274	0.3370095824
275	0.3366161215
276	0.3364093246
277	0.3360000988
278	0.3356530816
279	0.3352961394
280	0.3347824031
281	0.3345565494
282	0.3343040514
283	0.3338513237
284	0.3335687418
285	0.3332041448
286	0.3328848694
287	0.3327490408
288	0.3321675586
289	0.3318551346
290	0.3313882228
291	0.3307785536
292	0.3304685124
293	0.3301510804
294	0.3298355915
295	0.3296108874
296	0.3293710422
297	0.3291394414
298	0.3288689418
299	0.328760323
300	0.3284289967
301	0.3281195151
302	0.3277172547
303	0.3273067862
304	0.3271553801
305	0.3268664879
306	0.3264869982
307	0.3261393473
308	0.3259523874
309	0.3255298603
310	0.3252609936
311	0.3249775179
312	0.324836131
313	0.3246435988
314	0.3245427638
315	0.3241541618
316	0.3239521044
317	0.3238234002
318	0.3235706059
319	0.3233619846
320	0.3229823038
321	0.3228004349
322	0.3226590883
323	0.3223866602
324	0.3222645537
325	0.3221218811
326	0.3219599037
327	0.321698329
328	0.3213745425
329	0.3211178592
330	0.3209140086
331	0.3207743391
332	0.3206299367
333	0.3205064337
334	0.3204270586
335	0.3203054797
336	0.3200766275
337	0.3199461079
338	0.3198508132
339	0.3196801299
340	0.3194673441
341	0.3193006375
342	0.3190432902
343	0.3188604528
344	0.3185646956
345	0.3183730801
346	0.3181577167
347	0.3178119669
348	0.317458741
349	0.3173477107
350	0.3171083152
351	0.3170715391
352	0.3169488655
353	0.3168198566
354	0.3165613144
355	0.3164001092
356	0.3161543139
357	0.3158921994
358	0.3157093371
359	0.3153997467
360	0.3152394148
361	0.3150708835
362	0.3148258908
363	0.3144403919
364	0.314211928
365	0.3141150389
366	0.3138798593
367	0.313630371
368	0.3134634229
369	0.3133721825
370	0.3131567845
371	0.3129456851
372	0.3126438408
373	0.3124549422
374	0.3123032227
375	0.3121933398
376	0.3120673376
377	0.3119793635
378	0.3117287948
379	0.3115837157
380	0.311067329
381	0.3108062243
382	0.3105442508
383	0.3102620703
384	0.3100646792
385	0.3098680374
386	0.3094988111
387	0.3091303627
388	0.3088271818
389	0.3084340872
390	0.3082454047
391	0.3080174012
392	0.3078103191
393	0.3075653073
394	0.3072153794
395	0.3070276384
396	0.3065367183
397	0.306375125
398	0.3062373706
399	0.3061346146
400	0.30593531
401	0.3058451732
402	0.3056772767
403	0.3055317499
404	0.3052629791
405	0.3049933825
406	0.3049119976
407	0.3045678787
408	0.3043498189
409	0.3042436701
410	0.3039454275
411	0.303807358
412	0.3036633943
413	0.303552298
414	0.303330736
415	0.303169713
416	0.3027335581
417	0.3025902196
418	0.302525927
419	0.302451504
420	0.3023643798
421	0.302206689
422	0.3021150546
423	0.301894837
424	0.3016632485
425	0.3015145821
426	0.3013711169
427	0.3010388924
428	0.30075779
429	0.3005853301
430	0.3002968481
431	0.3000486009
432	0.2998670846
433	0.2997165003
434	0.2994110829
435	0.2992691598
436	0.2989765368
437	0.298740854
438	0.2985846877
439	0.2984656524
440	0.2983119856
441	0.2981472915
442	0.2979240193
443	0.2975940467
444	0.2973485116
445	0.2972027517
446	0.2969129966
447	0.2967461971
448	0.2965436448
449	0.2963376219
450	0.2961408263
451	0.2959788367
452	0.2958440266
453	0.295720924
454	0.2956079044
455	0.2953198626
456	0.295185368
457	0.2951262135
458	0.295035408
459	0.2948933658
460	0.2947002644
461	0.2945218053
462	0.2943451674
463	0.2942320057
464	0.2941110572
465	0.293954402
466	0.2938807655
467	0.2937040013
468	0.2936028477
469	0.2932559346
470	0.2930394458
471	0.292998231
472	0.2929899231
473	0.2927933972
474	0.2925800735
475	0.292325751
476	0.2921229628
477	0.2920167356
478	0.2919009674
479	0.2918277124
480	0.2917132742
481	0.2915652169
482	0.2913229776
483	0.2911883408
484	0.2909463859
485	0.29072156
486	0.2906349633
487	0.2905682829
488	0.2903439882
489	0.2902395099
490	0.2901563294
491	0.2900727762
492	0.2898885657
493	0.2897541024
494	0.2895191369
495	0.2894634493
496	0.2894026189
497	0.2893579608
498	0.2891483902
499	0.2889230494

4
4
2218081757
